phase,config,compiler,opt,target_func,candidate_func,model,similarity
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,FUN_17d50,asm2vec,0.000000
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,FUN_17d50,BinCola,0.022673
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,FUN_17d50,CLAP,0.045432
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,FUN_17d50,jTrans,0.114014
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,FUN_17d50,safe,0.119997
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,FUN_16d36,asm2vec,0.000000
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,FUN_16d36,BinCola,0.000000
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,FUN_16d36,CLAP,0.000000
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,FUN_16d36,jTrans,0.000000
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,FUN_16d36,safe,0.000000
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,SSL_CTX_set_client_cert_engine,asm2vec,0.018136
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,SSL_CTX_set_client_cert_engine,BinCola,0.072995
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,SSL_CTX_set_client_cert_engine,CLAP,0.522176
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,SSL_CTX_set_client_cert_engine,jTrans,0.528127
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,SSL_CTX_set_client_cert_engine,safe,0.379513
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,SSL_get_verify_result,asm2vec,0.000000
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,SSL_get_verify_result,BinCola,-0.143117
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,SSL_get_verify_result,CLAP,0.146220
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,SSL_get_verify_result,jTrans,-0.237730
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,SSL_get_verify_result,safe,0.110436
